#AUTHID,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,Valence,Crr_Arousal,Dominance,CC,CD,DT,EX,FW,IN,JJ,NN,PRP,RB,TO,VB
00419a4c96b32cd63b2c7196da761274,1.9,4.15,3.15,4.65,3.45,n,y,n,y,n,10/25/09 03:01 AM,141,8399.66,86.33,0.07,9196,0.47,0.31,-3.28,-5.9,-1.58,-1.08,-0.88,-1.57,-0.29,-0.23,-0.55,-1.65,-1.36,-1.08,0.14,-1.35,-1.61
02c37028a782cfda660c7243e45244bb,2.05,4,2.2,2.2,3.75,n,y,n,n,n,09/25/09 09:53 AM,134,8096.6,92.24,0.07,8311,0.47,0.35,-2.07,-1.23,-0.8,-1.08,1.62,-1.31,-0.29,-0.23,-1.08,-1.08,0.23,-1.08,-1.29,-1.35,-1.5
03133a828cd0cf52e3752813ce5d818f,3.84,3.55,2.85,4.32,3.45,y,y,n,y,n,09/02/2009 03:26,584,164031,96.69,0.02,167499,0.49,0.12,-0.01,0.75,0.34,1.68,8.92,0.82,-0.29,-0.23,1.81,1.35,1.61,0.19,1.87,-0.08,0.89
03e6c4eca4269c183fa0e1780f73faba,3.2,3.6,3.85,4.35,4.8,n,y,y,y,y,06/21/09 06:22 PM,222,21894.7,90.06,0.04,23462,0.48,0.21,-0.35,-0.09,-0.56,1.57,-0.29,1.3,-0.29,0.53,1.08,0.75,1.13,0.25,-0.43,0.18,0.39
06b055f8e2bca96496514891057913c3,2.85,2.35,3.35,4.7,3.35,n,n,n,y,n,12/29/09 12:42 AM,194,18123.1,97.81,0.02,18313,0.49,0.06,1.03,-1.0,0.22,0.69,-0.49,1.54,-0.29,-0.23,0.09,0.62,-0.04,0.32,0.43,0.94,0.61
0724fe854bd455061ba84efecdeff469,3,3.15,2.95,3.55,4.8,n,y,n,y,y,09/08/2009 01:11,236,25651.9,93.3,0.03,26805,0.49,0.18,0.02,1.36,-0.19,-1.08,-0.88,0.42,-0.29,11.68,-0.35,0.1,0.94,-0.08,0.01,0.65,-0.2
0737e4e4980f56c9fb1cb5743001c917,3.35,2.3,4.1,2.4,4.5,n,n,y,n,y,08/20/09 04:21 PM,431,91298.5,98.98,0.01,91701,0.5,0.03,0.4,-0.01,0.38,0.77,-0.1,0.54,-0.29,0.03,0.83,0.89,1.12,0.28,0.08,1.29,1.04
0abd57182992dd9167b88b198350afe4,4.33,2.17,3.17,4.17,4.83,y,n,n,y,y,10/31/09 11:50 PM,654,207792,97.61,0.01,210797,0.5,0.08,0.25,0.22,0.34,0.0,0.88,0.49,-0.29,-0.23,0.05,-0.25,-0.21,-0.13,0.34,-0.68,-0.38
0bfa3d952ffed50f25011b128e73a820,2.8,1.6,3.65,3.25,4.15,n,n,y,n,y,06/23/09 11:24 PM,463,103722,97.4,0.02,105113,0.49,0.13,0.51,-0.24,0.63,0.36,0.05,1.17,-0.29,-0.23,1.1,1.05,1.12,0.67,0.86,0.78,1.07
0e09a1e89675e72bc2c3f2fac504fced,2.85,3.2,2.85,4.1,4.7,n,y,n,y,y,10/05/2009 16:59,176,14764.9,96.98,0.03,14973,0.49,0.09,-1.33,-0.2,-1.46,0.44,-0.34,0.57,-0.29,1.16,0.15,0.55,0.01,-0.38,1.39,0.4,0.3
0ea88660e23db79e2a3c897a5490d0df,4.25,2,3.25,4.75,3.5,y,n,n,y,n,07/04/2009 14:28,298,41492.8,94.4,0.03,42968,0.49,0.14,0.6,-0.28,0.63,0.08,-0.29,0.4,-0.29,-0.23,-0.01,0.55,-0.21,0.54,0.43,0.18,0.14
1187ed8a8b100eb49b8684ac30d6da29,4,4,2.25,4.5,3.25,y,y,n,y,n,07/10/2009 17:31,631,192351,97.08,0.02,195496,0.49,0.14,0.37,-0.05,0.34,-0.41,0.2,-0.09,0.74,-0.23,-0.22,-0.28,-0.22,-0.29,-0.59,-0.08,-0.31
11fc0a8b587b93bb9bfe957f62729d7e,4.25,1.75,4.75,5,4,y,n,y,y,y,06/28/09 08:57 PM,900,397632,98.51,0.01,400980,0.5,0.06,1.66,-0.51,1.24,-0.41,-0.68,-0.79,-0.29,-0.23,-0.85,-1.02,-0.5,-0.86,-0.66,-0.58,-1.0
12006962a8659cc890a5a66913494704,3,2.75,4,3.25,4.33,n,n,y,n,y,06/16/09 04:31 AM,1596,1251780,98.47,0.01,1263790,0.5,0.07,1.52,0.1,0.63,-0.91,0.0,-1.18,-0.29,-0.23,-0.96,-1.12,-1.19,-0.92,-0.89,-1.09,-1.25
127d3a99f86b3ee848fd0449bec048fc,3.35,2.05,3,3.85,4.5,n,n,n,y,y,09/01/2009 00:11,144,8951.17,88.16,0.07,9577,0.47,0.34,-2.93,0.33,-3.86,-1.08,-0.88,2.91,-0.29,-0.23,1.6,3.36,3.28,-1.08,0.14,1.83,1.17
138ac63ec2b55b8f48fd19c300720cae,1.95,3.45,3.05,2.5,3.95,n,y,n,n,y,10/30/09 06:29 PM,415,84621.1,98.98,0.01,84969,0.5,0.04,0.14,-0.32,-0.35,3.56,0.3,2.61,-0.29,-0.23,2.41,0.35,2.52,2.99,1.92,2.21,3.01
13eda4b130aec87b280692cd68e3cabd,3.75,2.25,4.5,3.75,4.25,y,n,y,y,y,06/16/09 06:22 AM,278,36276,94.9,0.03,37357,0.49,0.16,0.34,0.67,0.79,-1.08,-0.88,-1.4,-0.29,-0.23,-1.51,-1.47,-1.46,-0.56,-0.98,-0.3,-0.85
142635bd7f9ed8e4d8c292fa6ccd9aa4,2.25,3.45,2.8,2.7,3.85,n,y,n,n,y,09/20/09 02:48 PM,38,648.17,97.32,0.07,653,0.49,0.06,0.45,-0.09,0.18,-0.52,0.1,0.22,-0.29,-0.23,0.74,0.35,0.5,0.19,0.43,-0.71,0.2
1695fbad7101e34d4cb4686a6770231f,5,1.75,3,3.5,3.5,y,n,n,y,n,07/13/09 01:47 PM,855,349689,96.01,0.02,358852,0.49,0.18,0.08,0.03,-0.11,-0.63,-0.54,-0.34,-0.29,-0.23,-0.5,-0.5,-0.8,-0.3,-0.32,-0.49,-0.54
172400f46880b309ca5e97d322bb8f01,3.45,2.85,2.8,2.7,4.15,n,y,n,n,y,07/15/09 11:19 PM,122,6529.3,89.94,0.07,6893,0.47,0.26,-1.1,-0.09,-0.72,-0.3,-0.78,-0.22,-0.29,-0.23,-0.41,-0.45,-0.62,-0.0,-0.66,-0.62,-0.49
181962441153a36333f0c60701823412,3.4,2.8,3.05,3.05,4.35,n,y,n,n,y,06/22/09 04:18 PM,209,20582.2,95.61,0.03,21092,0.49,0.11,0.2,0.29,0.14,0.28,-0.29,-0.13,-0.29,-0.23,-0.05,-0.25,-0.1,-0.32,0.23,0.18,-0.06
1886cffe45f0ee0240eda42e44a01e07,4.75,1.25,3.5,3.25,3.5,y,n,n,n,n,06/23/09 10:37 PM,289,38381.5,92.87,0.03,40329,0.49,0.15,-0.61,0.37,-0.64,-0.11,-0.88,-0.52,-0.29,0.21,-0.57,-0.02,-0.65,-0.75,-0.39,-0.68,-0.59
19c6d69f9f5acc1a43d6ac498085e69f,2.85,3,3,2.95,3,n,y,n,n,n,09/20/09 12:06 AM,175,14120.1,93.82,0.04,14554,0.48,0.22,-2.59,3.25,-2.48,-1.08,-0.88,-1.57,-0.29,-0.23,-1.63,0.02,-1.36,-1.08,-1.29,-1.35,-1.61
1bd281623fa6ad208caa394dcad75c7d,2.1,2.7,3.4,2.05,3.65,n,n,n,n,n,06/17/09 06:45 AM,573,154659,94.7,0.02,160407,0.49,0.18,-0.23,-0.24,0.05,-0.41,-0.68,-0.79,-0.29,-0.23,-0.85,-0.12,-0.82,-0.64,-0.61,-0.58,-0.72
1c10cc0852579d2fa000e3fc3327bb98,2.6,2.65,2.1,2.2,3.5,n,n,n,n,n,08/20/09 07:30 AM,139,9100.53,96.27,0.04,9251,0.49,0.11,-0.64,-0.09,-0.8,-0.52,2.31,0.08,-0.29,0.09,-0.44,-0.73,0.17,-0.85,-0.43,0.24,-0.57
1d6d222bd3fb4c0af35466042cb82d78,1.95,2.4,3.8,2.8,2.7,n,n,y,n,n,06/25/09 10:46 PM,686,223635,95.46,0.02,230361,0.49,0.16,1.29,1.09,1.28,1.9,0.88,0.58,-0.29,-0.23,-0.37,0.0,0.22,0.35,-0.26,0.65,1.02
1ece40ac9b657dea8c22a1fe58d3a6fe,3.5,1.75,4.75,3,4.25,n,n,y,n,y,06/26/09 02:47 AM,256,30788.5,95.07,0.03,31646,0.49,0.16,-0.52,0.86,-0.39,1.41,-0.44,1.08,0.74,-0.23,1.15,1.05,0.68,3.31,1.59,1.89,1.98
200255966ca6e2636535b5b93ac04497,3.15,1.9,4.15,4,3.55,n,n,y,y,n,07/16/09 09:48 PM,75,2650.67,98.14,0.04,2660,0.49,0.05,-0.35,-0.28,0.26,0.0,0.59,-0.36,-0.29,-0.04,-0.5,0.3,-0.32,0.49,0.3,-0.2,0.12
225c97c90103cc04cda7d10845f2733e,2.7,1.45,3.8,4.35,3.3,n,n,y,y,n,06/17/09 10:33 AM,102,4216.48,83.49,0.09,4694,0.46,0.32,1.29,0.37,1.2,-0.08,-0.59,-0.22,-0.29,-0.23,-0.01,-0.25,0.4,-0.22,-0.43,0.94,0.01
22d1f7b24168528163c515b1c96a879c,3.13,1.56,4.38,3.88,3.5,n,n,y,y,n,08/29/09 02:01 PM,333,53583.4,97.52,0.02,54306,0.49,0.07,2.26,-1.49,3.16,4.44,-0.88,-0.07,-0.29,-0.23,-0.55,0.02,0.96,-1.08,0.14,5.0,-0.92
2382eeba332f59ff29cf63a839a33f9a,2.4,3.75,2.95,3.1,3.75,n,y,n,n,n,07/08/2009 17:01,313,45656,94.11,0.03,47527,0.49,0.13,-0.81,2.27,0.67,-0.91,-0.44,-1.21,-0.29,-0.23,-1.27,-0.8,-1.17,-0.85,-1.08,-0.96,-1.03
259f8f9cce95b214dc9924af48bcd6f0,3.3,2.85,4.2,3.4,4.75,n,y,y,n,y,06/22/09 03:11 AM,1460,1056550,99.34,0,1060480,0.5,0.03,0.74,-0.39,0.75,0.22,-0.44,-0.4,-0.29,-0.23,-0.22,-0.4,-0.23,-0.57,-0.61,-0.3,-0.45
2609216746274fd785c35801fb53e9d8,4.5,3,2.25,5,4.75,y,y,n,y,y,09/27/09 05:52 PM,288,39168,95.44,0.02,40303,0.49,0.13,0.17,-0.24,0.46,-0.3,-0.1,-0.81,0.4,-0.04,-0.73,-0.77,-0.83,-0.5,-0.68,-0.3,-0.46
28038d4b1e4bcfc3b91960f095eccca4,4.6,1.6,4.1,3.9,4.9,y,n,y,y,y,06/16/09 12:04 AM,775,289468,96.76,0.01,296135,0.49,0.07,0.6,-0.24,1.07,0.08,-0.19,0.11,-0.29,-0.23,0.63,0.92,1.16,-0.42,0.92,1.32,-0.06
2a7471dcf8d1e9b91c89eb91fc2a140d,3.25,3.25,3.75,4.25,3.5,n,y,y,y,n,06/20/09 10:51 PM,146,9777.14,93.65,0.05,10084,0.48,0.19,-0.75,-0.54,-0.23,-0.83,-0.88,-1.03,-0.29,-0.23,-1.24,-1.5,-1.4,-0.94,-0.65,-0.77,-1.05
2badb47503a98766c89e266d1130969a,3.55,2.3,3.65,4.65,4.6,n,n,y,y,y,08/15/09 05:06 PM,379,66420.9,93.22,0.03,69191,0.49,0.27,-0.23,0.67,-0.56,-0.52,-0.19,-0.94,-0.29,-0.23,-0.51,-0.45,-0.81,-0.67,-0.52,-0.9,-0.84
2d14a09b41a0d12b9e60377a0a8e14a8,1.75,3.6,3.6,2.1,3.85,n,y,y,n,y,10/12/2009 19:26,50,1146.83,97.52,0.06,1150,0.49,0.08,-0.26,-0.62,-0.68,0.17,0.44,1.39,2.8,-0.23,0.79,-0.15,0.6,0.49,0.52,0.08,0.39
2ea1efd66ffc011621a4a74e06005e23,4.1,1.78,3.3,4.3,4.7,y,n,n,y,y,07/13/09 05:19 PM,947,442522,99,0.01,444948,0.5,0.03,0.02,-0.39,0.26,0.47,0.15,0.57,0.05,-0.1,0.54,0.07,0.34,0.51,0.43,0.02,0.33
301e1788a595203d0daf3fed10afe1c9,3,2.5,4,3.5,3.75,n,n,y,y,n,06/27/09 11:15 AM,493,115837,95.9,0.02,118848,0.49,0.12,0.6,0.06,0.34,-0.52,-0.88,-0.97,-0.29,-0.23,-0.98,-0.98,-1.21,-0.19,-0.26,0.18,-0.64
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n,06/27/09 11:21 PM,318,49024.8,97.88,0.02,49584,0.49,0.06,-0.15,0.82,-0.39,-0.19,0.0,-0.72,0.05,-0.1,-0.67,-0.45,-0.53,-0.62,-0.66,-0.55,-0.68
325e62f4e7e4f64a03fcf831a8d80bf1,4.35,1.7,4.75,3.55,4.7,y,n,y,y,y,09/24/09 07:35 PM,595,172875,98.16,0.01,174859,0.5,0.05,-3.62,1.01,-0.44,-1.08,-0.88,-0.07,-0.29,-0.23,0.52,-1.65,-0.43,-1.08,0.14,1.83,0.82
330abbccd3c0ad0fdb0cbe815599bd4f,2.5,3,4,3,4,n,y,y,n,y,06/25/09 10:32 PM,239,24116.1,85.51,0.05,26937,0.48,0.27,-0.03,-0.28,0.26,-0.41,0.3,0.11,-0.29,-0.23,-0.08,-0.32,-0.45,-0.96,-0.72,0.43,-0.45
331a1fdb9c8304206db1b7c4c6852363,2.45,2.95,3.3,3.55,4.6,n,y,n,y,y,09/10/2009 21:42,119,5588.16,80.95,0.1,6340,0.46,0.37,-0.29,-0.16,0.05,0.0,0.3,0.45,-0.29,-0.23,0.41,0.55,0.06,0.4,0.86,0.46,0.41
33e1c2ac25051eda8cc69d1379f584eb,4,1.5,4.35,3.9,4.8,y,n,y,y,y,07/07/2009 09:30,241,28030.7,97.74,0.02,28314,0.49,0.07,0.83,0.9,0.83,-0.3,-0.49,-0.19,-0.29,-0.23,-0.12,0.02,-0.1,0.25,0.77,0.18,-0.33
341d74a026925b6a0bde7b58c519c414,2.75,3.25,2,4.5,3.5,n,y,n,y,n,07/31/09 05:01 AM,262,32959,97.14,0.02,33381,0.49,0.13,1.69,-1.19,2.46,-1.08,0.74,-0.09,-0.29,-0.23,-0.56,-1.65,-0.29,-1.08,-0.35,-1.35,-0.47
35efb99775d5ee7e83cf7912591984d5,2.45,4,2.85,2.35,4.1,n,y,n,n,y,01/18/10 09:15 AM,65,1696.85,84.17,0.1,1876,0.47,0.28,-0.87,-2.78,-5.09,-1.08,-0.88,-1.57,-0.29,-0.23,-1.63,0.02,-0.43,3.69,-1.29,-1.35,-0.92
370a8295df2f8b9069e75422c37d2639,4,1.65,3.1,3.1,4.5,y,n,n,n,y,06/22/09 03:08 PM,89,3755.17,98.1,0.03,3804,0.5,0.02,1.34,0.79,1.85,-0.33,0.44,-1.03,-0.29,-0.23,-1.05,-0.45,-0.9,-0.51,-0.13,-0.77,-0.93
37195f370c3fd7486ccedb1519b026c2,4.13,1.43,4.5,3.5,4.13,y,n,y,y,y,06/15/09 02:36 AM,694,234370,97.74,0.01,237664,0.5,0.07,-0.38,0.14,-0.23,0.36,0.15,0.64,0.05,-0.1,0.7,0.99,0.53,0.36,0.27,-0.04,0.41
374035e42f4b691c2b9c7b915ef1aeae,3.25,3,3.5,4.5,4.25,n,y,n,y,y,06/30/09 07:30 PM,549,141358,94.32,0.02,146775,0.49,0.18,1.69,0.18,-0.64,-1.08,0.35,-1.19,-0.29,-0.23,-0.82,-0.4,-1.01,-1.08,-0.58,-1.35,-1.44
3b474abc02985674f2b64e46a939bb3d,3.6,1.95,4.2,3.6,4.8,y,n,y,y,y,06/30/09 01:57 PM,804,312739,97.12,0.01,321175,0.5,0.01,-0.23,0.29,-0.07,0.08,-0.1,1.15,3.15,-0.23,1.34,0.72,1.26,0.89,0.83,0.81,1.28
3b6a414b280222a29d0a95c473cf6b61,2.05,1.55,4.55,3.95,4,n,n,y,y,y,06/22/09 01:38 AM,322,50065.9,97.48,0.02,50696,0.49,0.1,-0.84,0.37,-1.25,-0.17,-0.29,0.05,-0.29,-0.04,-0.47,-0.35,-0.15,-0.27,-0.56,-0.3,-0.17
3cc2cbf4c8c9c9f05590a092a9e9cacb,2.75,3.75,3.75,4.75,4.25,n,y,y,y,y,06/26/09 01:23 PM,332,51669.8,94.61,0.03,53479,0.49,0.18,0.05,1.05,-0.07,0.25,-0.29,0.22,-0.29,-0.23,0.05,0.95,-0.21,0.06,0.08,-0.96,-0.36
3d7847b1c33b5f5811208b4aa1a7ffbd,3.15,3.6,3.4,2.2,4.25,n,y,n,n,y,08/22/09 04:30 PM,255,30917.9,96.22,0.03,31439,0.49,0.19,0.22,0.44,-0.03,0.06,0.1,-0.16,-0.29,-0.1,0.11,0.08,-0.12,-0.42,-0.33,-0.62,-0.24
3fe44fab3eb561ae418a22182ec75fad,4,3.75,3.25,2,3.75,y,y,n,n,n,11/18/09 04:56 AM,329,49454.7,92.22,0.03,52282,0.49,0.17,1.11,0.25,4.18,1.68,-0.88,-0.82,-0.29,-0.23,-0.01,-1.65,-0.66,-1.08,1.58,0.24,-1.27
436e99cf44a590f9fa63638544619ce1,4.5,2.75,4.25,5,4.75,y,n,y,y,y,06/27/09 08:36 AM,1151,650745,98.5,0.01,656894,0.5,0.06,0.83,-0.28,0.79,0.0,0.15,0.94,0.74,-0.23,0.05,0.35,-0.03,0.49,0.34,0.37,0.43
43e9b5847ad2e94f53bcc9d826093a76,3.68,2.45,4.35,4.05,4.4,y,n,y,y,y,08/19/09 10:28 PM,419,82139,94.25,0.02,85492,0.49,0.15,1.54,-0.54,-0.07,-1.08,-0.88,-1.08,-0.29,-0.23,-1.27,-0.55,-1.06,-0.56,-0.82,-0.3,-0.47
448084546d4ae45e47c3a83f338ade56,3.7,3.15,4.3,3.75,3.85,y,y,y,y,y,06/16/09 10:31 PM,216,21645,94.09,0.03,22428,0.49,0.15,0.97,0.44,1.16,-0.83,0.15,-0.49,-0.29,1.66,0.11,0.55,0.11,-0.08,1.29,-0.2,0.14
450c787001b004af69428e267c7a4ca1,2.3,3.5,4.5,2.85,4.5,n,y,y,n,y,09/08/2009 10:01,297,41728.8,95.58,0.03,42826,0.49,0.17,-0.09,0.37,-0.07,0.33,-0.54,-0.04,-0.29,-0.1,-0.11,0.02,-0.29,0.59,0.3,-0.24,0.13
45a8b713a08f44ad954463e0aa979235,3,2.75,3.75,3.75,3.5,n,n,y,y,n,07/09/2009 01:04,431,90115.4,97.7,0.02,91202,0.49,0.08,-0.67,-0.43,0.3,0.17,0.0,0.85,-0.29,-0.23,0.41,0.75,0.01,-0.37,-0.39,-0.2,-0.3
45ab97edbe4e93bc1017bcd28483a678,4.05,2.4,3.8,3,4.85,y,n,y,n,y,09/20/09 03:50 PM,563,153582,97.43,0.01,156035,0.49,0.08,0.45,0.63,0.79,0.03,-0.49,-0.37,2.46,-0.23,-0.77,-0.05,-0.3,-0.32,-0.84,-0.08,-0.11
4a6ef0fc11285732bde96e8863dcb7f4,3.8,3,3.94,3.1,4.75,y,y,y,n,y,07/07/2009 22:10,622,188741,98.04,0.01,190791,0.5,0.11,0.77,0.1,0.63,0.86,2.06,0.52,-0.29,-0.23,1.17,1.85,0.96,1.14,0.86,-0.39,0.75
4b8c9b247d45495cdb1ebf755fcec1f6,3.75,2.5,4,4.75,4.5,y,n,y,y,y,06/17/09 06:09 AM,289,39253.6,94.98,0.03,40499,0.49,0.13,-0.18,0.1,-0.23,-0.08,-0.05,0.03,0.05,-0.1,-0.33,-0.52,-0.56,-0.3,-0.32,0.02,-0.11
4bbb1f5843d9d6e8966dce58179f01de,2.55,2.65,4,2.95,4.05,n,n,y,n,y,07/15/09 02:00 PM,81,2684.16,84.94,0.13,2834,0.45,0.52,-0.29,-0.7,0.1,0.36,1.28,0.4,-0.29,-0.23,1.38,0.22,0.83,1.33,1.23,1.83,1.17
4cac659f923d6f3b4605f38477a04458,2.8,3.15,3.65,3.45,4.35,n,y,y,n,y,09/18/09 05:08 PM,340,53444.2,93.29,0.03,55628,0.49,0.26,-0.29,0.18,0.01,-0.14,-0.39,0.02,0.4,0.09,-0.14,0.15,-0.14,0.13,0.3,-0.2,-0.04
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y,07/19/09 05:40 PM,57,1509.5,98.02,0.05,1522,0.49,0.03,0.42,0.25,0.54,-0.5,-0.29,-0.54,-0.29,-0.23,-0.66,-0.4,-0.99,-0.42,-0.69,0.08,-0.26
4e5bc97d95f3aca05d420bfd4e3a2639,4.65,2.2,3.7,2.1,3.85,y,n,y,n,y,08/01/2009 11:41,175,14199.5,94.34,0.04,14654,0.49,0.17,0.4,-0.7,0.79,-0.08,1.77,1.48,1.77,-0.23,1.92,0.85,0.71,0.35,0.34,-0.2,0.52
4f48c6c8051e144c717ce143e8d77782,2.15,3.1,3.8,2.8,3.85,n,y,y,n,y,11/01/2009 00:21,84,3223.35,94.72,0.06,3287,0.48,0.15,0.28,-0.35,0.63,0.36,-0.1,-0.01,-0.29,-0.23,-0.21,-0.85,-0.26,0.95,0.03,0.05,0.14
502db2fcfe26705ae16a46c5cb2ad2e5,3.2,3.3,4.55,3.2,4.45,n,y,y,n,y,06/27/09 01:11 PM,188,16902.2,97.19,0.02,17179,0.49,0.05,0.45,0.1,0.46,0.88,-0.14,1.27,-0.29,0.53,1.16,0.95,0.86,0.38,1.09,1.83,1.48
504862f12f8c000ae4358a10d657e8f5,3.9,1.7,4.2,4.6,4.7,y,n,y,y,y,09/22/09 08:51 AM,1267,767221,95.81,0,798934,0.5,0.01,0.08,0.67,0.5,-0.19,-0.1,0.58,-0.29,0.28,0.82,0.55,0.7,0.19,0.43,1.07,0.61
521896b01c1a506dc4404e600fa99c5b,3.7,3.7,3.65,1.95,4.84,y,y,y,n,y,06/23/09 03:43 AM,29,334.42,88.47,0.14,348,0.46,0.26,-0.23,-0.05,-0.35,0.19,0.15,0.42,-0.29,-0.23,0.14,0.42,-0.16,0.25,0.13,0.34,0.19
526ac2635cb3f5e0ee5d7424e83e9107,2.45,2.7,3.1,4,4.3,n,n,n,y,y,10/10/2009 06:23,633,196606,98.6,0.01,198186,0.5,0.07,-0.06,-0.2,0.14,-0.44,-0.34,-0.34,-0.29,-0.23,-0.58,-0.73,-0.85,-0.3,-0.72,-0.74,-0.61
527ed53d2ba3a3bc417b8402d5b2f556,3.35,2.75,2.85,3.1,4.15,n,n,n,n,y,07/29/09 04:32 PM,789,303058,97.74,0.01,307565,0.5,0.07,0.31,0.03,0.18,0.36,0.54,1.72,0.05,-0.23,1.29,0.57,1.63,0.27,1.02,1.35,0.82
5299b573a6caaf4aebfb3cf6bc8acfd8,4.7,1.55,3.7,4.4,4.9,y,n,y,y,y,06/15/09 09:14 PM,457,100045,96.44,0.02,102101,0.49,0.16,0.48,-0.28,0.75,0.5,0.15,0.4,1.08,-0.1,0.83,0.65,0.27,2.5,0.85,0.97,1.49
530e195e467f673de0917893fbf9299a,1.9,2.7,4.1,4.2,4.45,n,n,y,y,y,06/21/09 11:04 PM,56,1205.1,81.15,0.12,1362,0.46,0.31,0.17,0.48,-0.27,0.36,0.1,0.16,-0.29,-0.23,0.14,0.42,-0.19,0.32,0.08,0.43,-0.06
540159466df2f050426692ddaac1eab4,3,1.75,4,4.75,4,n,n,y,y,y,06/30/09 07:47 AM,315,47078.6,95.8,0.03,48149,0.49,0.19,0.45,-0.43,0.54,-0.52,-0.39,-0.4,0.4,-0.23,-0.49,-0.98,-0.41,-0.42,-0.4,-0.27,-0.54
5489ed38556af050d6a93e5d27b95dfb,4.15,3.1,3.2,3.6,3.8,y,y,n,y,y,07/23/09 05:55 PM,950,438219,97.42,0.01,445454,0.5,0.09,-1.64,0.56,-1.86,0.3,0.59,-0.37,3.15,0.4,-0.44,-0.32,-0.34,-0.45,-0.72,-0.08,0.2
5532642937eb3497a43e15dbb23a9d2d,1.4,4.05,3.3,3.4,3.95,n,y,n,n,y,02/10/2010 02:01,154,11424.5,98.25,0.02,11510,0.49,0.05,0.2,-0.32,0.01,-1.08,-0.88,-1.57,-0.29,-0.23,-1.63,0.02,-0.89,-1.08,-1.29,-1.35,-0.92
567632b6b7ae8ce7297affcd7ff42c95,4.5,4,4,2,2.25,y,y,y,n,n,07/18/09 04:44 PM,845,350408,98.5,0.01,353642,0.5,0.05,0.48,0.06,0.54,-0.36,-0.49,-0.07,-0.29,0.15,-0.12,0.02,-0.31,-0.35,-0.4,0.43,-0.04
57c2d8496ceb8e92022bcac20cca27e1,3.55,1.4,4.45,4.15,4.8,n,n,y,y,y,06/21/09 02:48 PM,77,2830.5,99.32,0.03,2837,0.5,0.01,-0.01,-0.32,0.3,-0.47,-0.49,0.02,0.4,-0.23,-0.29,-0.92,-0.44,-0.32,-0.72,-0.14,-0.42
5880081cd3de1619cd431a75d9052dfc,2.9,2.2,3.05,3.9,4.1,n,n,n,y,y,07/10/2009 21:43,72,2015.24,81.1,0.12,2262,0.46,0.38,0.31,-0.88,-0.11,0.86,-0.19,-0.52,-0.29,-0.23,-0.87,0.45,-0.59,-0.42,0.31,0.88,-0.15
5c73047a8292131a9aa261cfa07932fd,3.45,1.65,4.55,3.5,4.65,n,n,y,y,y,09/01/2009 17:24,695,238038,98.99,0.01,239033,0.5,0.05,0.05,0.37,0.46,0.25,0.88,-0.49,-0.29,-0.23,-0.34,0.15,-0.49,-0.7,0.26,0.18,-0.78
603f11575493fd2df5d15faa9c96cec8,2.38,3.25,3.38,3.25,3.38,n,y,n,n,n,07/02/2009 11:34,82,2956.54,91.25,0.09,3036,0.47,0.38,-1.04,-1.19,-3.5,-1.08,-0.34,-1.4,-0.29,-0.23,-0.92,-1.1,-1.26,-1.08,-0.98,-1.0,-1.23
