#AUTHID,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,Valence
00419a4c96b32cd63b2c7196da761274,1.9,4.15,3.15,4.65,3.45,n,y,n,y,n,10/25/09 03:01 AM,141,8399.66,86.33,0.07,9196,0.47,0.31,-3.28
02c37028a782cfda660c7243e45244bb,2.05,4,2.2,2.2,3.75,n,y,n,n,n,09/25/09 09:53 AM,134,8096.6,92.24,0.07,8311,0.47,0.35,-2.07
03133a828cd0cf52e3752813ce5d818f,3.84,3.55,2.85,4.32,3.45,y,y,n,y,n,09/02/2009 03:26,584,164031,96.69,0.02,167499,0.49,0.12,-0.01
03e6c4eca4269c183fa0e1780f73faba,3.2,3.6,3.85,4.35,4.8,n,y,y,y,y,06/21/09 06:22 PM,222,21894.7,90.06,0.04,23462,0.48,0.21,-0.35
06b055f8e2bca96496514891057913c3,2.85,2.35,3.35,4.7,3.35,n,n,n,y,n,12/29/09 12:42 AM,194,18123.1,97.81,0.02,18313,0.49,0.06,1.03
0724fe854bd455061ba84efecdeff469,3,3.15,2.95,3.55,4.8,n,y,n,y,y,09/08/2009 01:11,236,25651.9,93.3,0.03,26805,0.49,0.18,0.02
0737e4e4980f56c9fb1cb5743001c917,3.35,2.3,4.1,2.4,4.5,n,n,y,n,y,08/20/09 04:21 PM,431,91298.5,98.98,0.01,91701,0.5,0.03,0.4
0abd57182992dd9167b88b198350afe4,4.33,2.17,3.17,4.17,4.83,y,n,n,y,y,10/31/09 11:50 PM,654,207792,97.61,0.01,210797,0.5,0.08,0.25
0bfa3d952ffed50f25011b128e73a820,2.8,1.6,3.65,3.25,4.15,n,n,y,n,y,06/23/09 11:24 PM,463,103722,97.4,0.02,105113,0.49,0.13,0.51
0e09a1e89675e72bc2c3f2fac504fced,2.85,3.2,2.85,4.1,4.7,n,y,n,y,y,10/05/2009 16:59,176,14764.9,96.98,0.03,14973,0.49,0.09,-1.33
0ea88660e23db79e2a3c897a5490d0df,4.25,2,3.25,4.75,3.5,y,n,n,y,n,07/04/2009 14:28,298,41492.8,94.4,0.03,42968,0.49,0.14,0.6
1187ed8a8b100eb49b8684ac30d6da29,4,4,2.25,4.5,3.25,y,y,n,y,n,07/10/2009 17:31,631,192351,97.08,0.02,195496,0.49,0.14,0.37
11fc0a8b587b93bb9bfe957f62729d7e,4.25,1.75,4.75,5,4,y,n,y,y,y,06/28/09 08:57 PM,900,397632,98.51,0.01,400980,0.5,0.06,1.66
12006962a8659cc890a5a66913494704,3,2.75,4,3.25,4.33,n,n,y,n,y,06/16/09 04:31 AM,1596,1251780,98.47,0.01,1263790,0.5,0.07,1.52
127d3a99f86b3ee848fd0449bec048fc,3.35,2.05,3,3.85,4.5,n,n,n,y,y,09/01/2009 00:11,144,8951.17,88.16,0.07,9577,0.47,0.34,-2.93
138ac63ec2b55b8f48fd19c300720cae,1.95,3.45,3.05,2.5,3.95,n,y,n,n,y,10/30/09 06:29 PM,415,84621.1,98.98,0.01,84969,0.5,0.04,0.14
13eda4b130aec87b280692cd68e3cabd,3.75,2.25,4.5,3.75,4.25,y,n,y,y,y,06/16/09 06:22 AM,278,36276,94.9,0.03,37357,0.49,0.16,0.34
142635bd7f9ed8e4d8c292fa6ccd9aa4,2.25,3.45,2.8,2.7,3.85,n,y,n,n,y,09/20/09 02:48 PM,38,648.17,97.32,0.07,653,0.49,0.06,0.45
1695fbad7101e34d4cb4686a6770231f,5,1.75,3,3.5,3.5,y,n,n,y,n,07/13/09 01:47 PM,855,349689,96.01,0.02,358852,0.49,0.18,0.08
172400f46880b309ca5e97d322bb8f01,3.45,2.85,2.8,2.7,4.15,n,y,n,n,y,07/15/09 11:19 PM,122,6529.3,89.94,0.07,6893,0.47,0.26,-1.1
181962441153a36333f0c60701823412,3.4,2.8,3.05,3.05,4.35,n,y,n,n,y,06/22/09 04:18 PM,209,20582.2,95.61,0.03,21092,0.49,0.11,0.2
1886cffe45f0ee0240eda42e44a01e07,4.75,1.25,3.5,3.25,3.5,y,n,n,n,n,06/23/09 10:37 PM,289,38381.5,92.87,0.03,40329,0.49,0.15,-0.61
19c6d69f9f5acc1a43d6ac498085e69f,2.85,3,3,2.95,3,n,y,n,n,n,09/20/09 12:06 AM,175,14120.1,93.82,0.04,14554,0.48,0.22,-2.59
1bd281623fa6ad208caa394dcad75c7d,2.1,2.7,3.4,2.05,3.65,n,n,n,n,n,06/17/09 06:45 AM,573,154659,94.7,0.02,160407,0.49,0.18,-0.23
1c10cc0852579d2fa000e3fc3327bb98,2.6,2.65,2.1,2.2,3.5,n,n,n,n,n,08/20/09 07:30 AM,139,9100.53,96.27,0.04,9251,0.49,0.11,-0.64
1d6d222bd3fb4c0af35466042cb82d78,1.95,2.4,3.8,2.8,2.7,n,n,y,n,n,06/25/09 10:46 PM,686,223635,95.46,0.02,230361,0.49,0.16,1.29
1ece40ac9b657dea8c22a1fe58d3a6fe,3.5,1.75,4.75,3,4.25,n,n,y,n,y,06/26/09 02:47 AM,256,30788.5,95.07,0.03,31646,0.49,0.16,-0.52
200255966ca6e2636535b5b93ac04497,3.15,1.9,4.15,4,3.55,n,n,y,y,n,07/16/09 09:48 PM,75,2650.67,98.14,0.04,2660,0.49,0.05,-0.35
225c97c90103cc04cda7d10845f2733e,2.7,1.45,3.8,4.35,3.3,n,n,y,y,n,06/17/09 10:33 AM,102,4216.48,83.49,0.09,4694,0.46,0.32,1.29
22d1f7b24168528163c515b1c96a879c,3.13,1.56,4.38,3.88,3.5,n,n,y,y,n,08/29/09 02:01 PM,333,53583.4,97.52,0.02,54306,0.49,0.07,2.26
2382eeba332f59ff29cf63a839a33f9a,2.4,3.75,2.95,3.1,3.75,n,y,n,n,n,07/08/2009 17:01,313,45656,94.11,0.03,47527,0.49,0.13,-0.81
259f8f9cce95b214dc9924af48bcd6f0,3.3,2.85,4.2,3.4,4.75,n,y,y,n,y,06/22/09 03:11 AM,1460,1056550,99.34,0,1060480,0.5,0.03,0.74
2609216746274fd785c35801fb53e9d8,4.5,3,2.25,5,4.75,y,y,n,y,y,09/27/09 05:52 PM,288,39168,95.44,0.02,40303,0.49,0.13,0.17
28038d4b1e4bcfc3b91960f095eccca4,4.6,1.6,4.1,3.9,4.9,y,n,y,y,y,06/16/09 12:04 AM,775,289468,96.76,0.01,296135,0.49,0.07,0.6
2a7471dcf8d1e9b91c89eb91fc2a140d,3.25,3.25,3.75,4.25,3.5,n,y,y,y,n,06/20/09 10:51 PM,146,9777.14,93.65,0.05,10084,0.48,0.19,-0.75
2badb47503a98766c89e266d1130969a,3.55,2.3,3.65,4.65,4.6,n,n,y,y,y,08/15/09 05:06 PM,379,66420.9,93.22,0.03,69191,0.49,0.27,-0.23
2d14a09b41a0d12b9e60377a0a8e14a8,1.75,3.6,3.6,2.1,3.85,n,y,y,n,y,10/12/2009 19:26,50,1146.83,97.52,0.06,1150,0.49,0.08,-0.26
2ea1efd66ffc011621a4a74e06005e23,4.1,1.78,3.3,4.3,4.7,y,n,n,y,y,07/13/09 05:19 PM,947,442522,99,0.01,444948,0.5,0.03,0.02
301e1788a595203d0daf3fed10afe1c9,3,2.5,4,3.5,3.75,n,n,y,y,n,06/27/09 11:15 AM,493,115837,95.9,0.02,118848,0.49,0.12,0.6
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n,06/27/09 11:21 PM,318,49024.8,97.88,0.02,49584,0.49,0.06,-0.15
325e62f4e7e4f64a03fcf831a8d80bf1,4.35,1.7,4.75,3.55,4.7,y,n,y,y,y,09/24/09 07:35 PM,595,172875,98.16,0.01,174859,0.5,0.05,-3.62
330abbccd3c0ad0fdb0cbe815599bd4f,2.5,3,4,3,4,n,y,y,n,y,06/25/09 10:32 PM,239,24116.1,85.51,0.05,26937,0.48,0.27,-0.03
331a1fdb9c8304206db1b7c4c6852363,2.45,2.95,3.3,3.55,4.6,n,y,n,y,y,09/10/2009 21:42,119,5588.16,80.95,0.1,6340,0.46,0.37,-0.29
33e1c2ac25051eda8cc69d1379f584eb,4,1.5,4.35,3.9,4.8,y,n,y,y,y,07/07/2009 09:30,241,28030.7,97.74,0.02,28314,0.49,0.07,0.83
341d74a026925b6a0bde7b58c519c414,2.75,3.25,2,4.5,3.5,n,y,n,y,n,07/31/09 05:01 AM,262,32959,97.14,0.02,33381,0.49,0.13,1.69
35efb99775d5ee7e83cf7912591984d5,2.45,4,2.85,2.35,4.1,n,y,n,n,y,01/18/10 09:15 AM,65,1696.85,84.17,0.1,1876,0.47,0.28,-0.87
370a8295df2f8b9069e75422c37d2639,4,1.65,3.1,3.1,4.5,y,n,n,n,y,06/22/09 03:08 PM,89,3755.17,98.1,0.03,3804,0.5,0.02,1.34
37195f370c3fd7486ccedb1519b026c2,4.13,1.43,4.5,3.5,4.13,y,n,y,y,y,06/15/09 02:36 AM,694,234370,97.74,0.01,237664,0.5,0.07,-0.38
374035e42f4b691c2b9c7b915ef1aeae,3.25,3,3.5,4.5,4.25,n,y,n,y,y,06/30/09 07:30 PM,549,141358,94.32,0.02,146775,0.49,0.18,1.69
3b474abc02985674f2b64e46a939bb3d,3.6,1.95,4.2,3.6,4.8,y,n,y,y,y,06/30/09 01:57 PM,804,312739,97.12,0.01,321175,0.5,0.01,-0.23
3b6a414b280222a29d0a95c473cf6b61,2.05,1.55,4.55,3.95,4,n,n,y,y,y,06/22/09 01:38 AM,322,50065.9,97.48,0.02,50696,0.49,0.1,-0.84
3cc2cbf4c8c9c9f05590a092a9e9cacb,2.75,3.75,3.75,4.75,4.25,n,y,y,y,y,06/26/09 01:23 PM,332,51669.8,94.61,0.03,53479,0.49,0.18,0.05
3d7847b1c33b5f5811208b4aa1a7ffbd,3.15,3.6,3.4,2.2,4.25,n,y,n,n,y,08/22/09 04:30 PM,255,30917.9,96.22,0.03,31439,0.49,0.19,0.22
3fe44fab3eb561ae418a22182ec75fad,4,3.75,3.25,2,3.75,y,y,n,n,n,11/18/09 04:56 AM,329,49454.7,92.22,0.03,52282,0.49,0.17,1.11
436e99cf44a590f9fa63638544619ce1,4.5,2.75,4.25,5,4.75,y,n,y,y,y,06/27/09 08:36 AM,1151,650745,98.5,0.01,656894,0.5,0.06,0.83
43e9b5847ad2e94f53bcc9d826093a76,3.68,2.45,4.35,4.05,4.4,y,n,y,y,y,08/19/09 10:28 PM,419,82139,94.25,0.02,85492,0.49,0.15,1.54
448084546d4ae45e47c3a83f338ade56,3.7,3.15,4.3,3.75,3.85,y,y,y,y,y,06/16/09 10:31 PM,216,21645,94.09,0.03,22428,0.49,0.15,0.97
450c787001b004af69428e267c7a4ca1,2.3,3.5,4.5,2.85,4.5,n,y,y,n,y,09/08/2009 10:01,297,41728.8,95.58,0.03,42826,0.49,0.17,-0.09
45a8b713a08f44ad954463e0aa979235,3,2.75,3.75,3.75,3.5,n,n,y,y,n,07/09/2009 01:04,431,90115.4,97.7,0.02,91202,0.49,0.08,-0.67
45ab97edbe4e93bc1017bcd28483a678,4.05,2.4,3.8,3,4.85,y,n,y,n,y,09/20/09 03:50 PM,563,153582,97.43,0.01,156035,0.49,0.08,0.45
4a6ef0fc11285732bde96e8863dcb7f4,3.8,3,3.94,3.1,4.75,y,y,y,n,y,07/07/2009 22:10,622,188741,98.04,0.01,190791,0.5,0.11,0.77
4b8c9b247d45495cdb1ebf755fcec1f6,3.75,2.5,4,4.75,4.5,y,n,y,y,y,06/17/09 06:09 AM,289,39253.6,94.98,0.03,40499,0.49,0.13,-0.18
4bbb1f5843d9d6e8966dce58179f01de,2.55,2.65,4,2.95,4.05,n,n,y,n,y,07/15/09 02:00 PM,81,2684.16,84.94,0.13,2834,0.45,0.52,-0.29
4cac659f923d6f3b4605f38477a04458,2.8,3.15,3.65,3.45,4.35,n,y,y,n,y,09/18/09 05:08 PM,340,53444.2,93.29,0.03,55628,0.49,0.26,-0.29
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y,07/19/09 05:40 PM,57,1509.5,98.02,0.05,1522,0.49,0.03,0.42
4e5bc97d95f3aca05d420bfd4e3a2639,4.65,2.2,3.7,2.1,3.85,y,n,y,n,y,08/01/2009 11:41,175,14199.5,94.34,0.04,14654,0.49,0.17,0.4
4f48c6c8051e144c717ce143e8d77782,2.15,3.1,3.8,2.8,3.85,n,y,y,n,y,11/01/2009 00:21,84,3223.35,94.72,0.06,3287,0.48,0.15,0.28
502db2fcfe26705ae16a46c5cb2ad2e5,3.2,3.3,4.55,3.2,4.45,n,y,y,n,y,06/27/09 01:11 PM,188,16902.2,97.19,0.02,17179,0.49,0.05,0.45
504862f12f8c000ae4358a10d657e8f5,3.9,1.7,4.2,4.6,4.7,y,n,y,y,y,09/22/09 08:51 AM,1267,767221,95.81,0,798934,0.5,0.01,0.08
521896b01c1a506dc4404e600fa99c5b,3.7,3.7,3.65,1.95,4.84,y,y,y,n,y,06/23/09 03:43 AM,29,334.42,88.47,0.14,348,0.46,0.26,-0.23
526ac2635cb3f5e0ee5d7424e83e9107,2.45,2.7,3.1,4,4.3,n,n,n,y,y,10/10/2009 06:23,633,196606,98.6,0.01,198186,0.5,0.07,-0.06
527ed53d2ba3a3bc417b8402d5b2f556,3.35,2.75,2.85,3.1,4.15,n,n,n,n,y,07/29/09 04:32 PM,789,303058,97.74,0.01,307565,0.5,0.07,0.31
5299b573a6caaf4aebfb3cf6bc8acfd8,4.7,1.55,3.7,4.4,4.9,y,n,y,y,y,06/15/09 09:14 PM,457,100045,96.44,0.02,102101,0.49,0.16,0.48
530e195e467f673de0917893fbf9299a,1.9,2.7,4.1,4.2,4.45,n,n,y,y,y,06/21/09 11:04 PM,56,1205.1,81.15,0.12,1362,0.46,0.31,0.17
540159466df2f050426692ddaac1eab4,3,1.75,4,4.75,4,n,n,y,y,y,06/30/09 07:47 AM,315,47078.6,95.8,0.03,48149,0.49,0.19,0.45
5489ed38556af050d6a93e5d27b95dfb,4.15,3.1,3.2,3.6,3.8,y,y,n,y,y,07/23/09 05:55 PM,950,438219,97.42,0.01,445454,0.5,0.09,-1.64
5532642937eb3497a43e15dbb23a9d2d,1.4,4.05,3.3,3.4,3.95,n,y,n,n,y,02/10/2010 02:01,154,11424.5,98.25,0.02,11510,0.49,0.05,0.2
567632b6b7ae8ce7297affcd7ff42c95,4.5,4,4,2,2.25,y,y,y,n,n,07/18/09 04:44 PM,845,350408,98.5,0.01,353642,0.5,0.05,0.48
57c2d8496ceb8e92022bcac20cca27e1,3.55,1.4,4.45,4.15,4.8,n,n,y,y,y,06/21/09 02:48 PM,77,2830.5,99.32,0.03,2837,0.5,0.01,-0.01
5880081cd3de1619cd431a75d9052dfc,2.9,2.2,3.05,3.9,4.1,n,n,n,y,y,07/10/2009 21:43,72,2015.24,81.1,0.12,2262,0.46,0.38,0.31
5c73047a8292131a9aa261cfa07932fd,3.45,1.65,4.55,3.5,4.65,n,n,y,y,y,09/01/2009 17:24,695,238038,98.99,0.01,239033,0.5,0.05,0.05
603f11575493fd2df5d15faa9c96cec8,2.38,3.25,3.38,3.25,3.38,n,y,n,n,n,07/02/2009 11:34,82,2956.54,91.25,0.09,3036,0.47,0.38,-1.04
60751629cdaa2f62ebc9a33209fcca8e,4.5,1.5,3.25,3.5,4.75,y,n,n,y,y,07/02/2009 23:25,826,338268,99.52,0,339027,0.5,0.01,0.68
65266a09dc3d274bed54447cf4565392,2.9,2.65,3.45,3.45,4,n,n,n,n,y,09/29/09 11:24 PM,222,17150.1,70.55,0.09,22359,0.46,0.34,0.51
666c166767bb6645ee3dde9804faa6a9,4.5,1.55,3.85,2.6,3.95,y,n,y,n,y,08/31/09 02:52 AM,1043,532379,98.16,0.01,538780,0.5,0.06,-0.38
6810431fc51108130be92d505ea4944b,2,4,3.75,4,4.25,n,y,y,y,y,06/26/09 01:37 PM,721,248889,96.16,0.02,255465,0.49,0.12,0.8
690d0ead7039eccdcaeb4d9f77b168b5,2.9,3.75,3.15,3.35,4.75,n,y,n,n,y,06/17/09 03:32 AM,354,59885.4,96.39,0.02,61142,0.49,0.1,-0.26
692758eda219c4fdb6aa64e929be3ff0,2.55,2.85,3.9,2.5,4.4,n,y,y,n,y,06/21/09 03:35 AM,145,10258,99.63,0.02,10272,0.5,0.01,-0.09
6980ce18350d98916f56c95b4dc4496d,2.75,2.8,3.25,2.5,4.35,n,y,n,n,y,12/25/09 06:18 PM,70,1969.99,83.97,0.1,2172,0.46,0.29,0.31
69adae32cb076bf219e0d856ef233008,3.25,2.8,4.05,3.4,4.35,n,y,y,n,y,11/13/09 11:45 PM,443,92762.5,95.18,0.02,95665,0.49,0.15,-0.49
69d136c8d8dc113c3aee4835e941798d,2.7,3.05,1.65,1.55,3.65,n,y,n,n,n,06/19/09 01:52 PM,312,44661,92.65,0.05,46150,0.48,0.38,-0.38
6b87839f53a878460fca47c778ec9e3a,3.5,2,3.9,4.5,3.9,n,n,y,y,y,10/25/09 03:52 AM,413,82803.9,97.8,0.02,83757,0.49,0.07,1.03
6c1d913a21f2f3febbd15ee6044a4ac1,3.6,2.8,3.65,3.45,4.05,y,y,y,n,y,11/09/2009 18:49,295,42927.7,99.67,0.01,42998,0.5,0.01,-0.61
6c651f6e7d9104dac0ab60549f89fbb7,2.4,3.05,4.1,3,4.1,n,y,y,n,y,11/20/09 01:35 AM,166,12689.4,93.79,0.04,13137,0.49,0.17,-2.3
6d532e15130603bca8c7e08c8c7e1411,3.6,2.55,3.7,4.8,4.45,y,n,y,y,y,08/31/09 01:18 AM,174,13616.8,91.52,0.05,14360,0.48,0.19,-0.78
6f2bebc01062eb8334dccba3e048fdb5,4.2,1.55,4.95,3.4,4.65,y,n,y,n,y,06/18/09 05:50 PM,294,40662.7,95.06,0.03,41888,0.49,0.14,-0.23
709606429cd1b0d5cefaf63cdeaaa86b,3.25,1.75,3.75,4.75,4.25,n,n,y,y,y,08/05/2009 16:12,457,100985,97.34,0.01,102634,0.49,0.06,1.46
711d198ce5dcc873c3b1fd1468e84d2f,2.35,2.15,4.25,3.9,3.65,n,n,y,y,n,10/22/09 03:15 AM,213,20225.1,90.43,0.07,21100,0.47,0.44,-0.55
715c9eb832dc833a0b6409ddccd268b1,3.45,1.5,2.4,4.55,4.7,n,n,n,y,y,08/24/09 08:14 PM,831,338383,98.36,0.01,341154,0.5,0.07,-0.55
72265a88c1d9956ea6c7b49aa6e54220,4.15,2.25,4.3,3.65,4.65,y,n,y,y,y,07/09/2009 18:18,714,249452,98.28,0.01,251861,0.5,0.05,0.31
7226dfa2f0bde9e94bac3c83a3b1ab7a,3.4,1.55,3.35,4.25,3.75,n,n,n,y,n,09/03/2009 00:39,274,36363.3,97.94,0.02,36794,0.5,0.04,0.08
740aa055e9dccaee874ab7ec7e499d8e,1.7,4.7,1.95,4.05,3.6,n,y,n,y,n,07/31/09 03:47 AM,197,15938.2,83.4,0.07,17908,0.47,0.36,-0.18
751e53fc64b770f7b5ea2b0964678599,1.5,3.8,4.15,3.05,3.95,n,y,y,n,y,08/03/2009 01:51,223,21241,86.59,0.06,23383,0.48,0.31,-0.26
770b44cbe67c3e68372f529acd82a3ab,1.6,3.05,3,2.9,3.45,n,y,n,n,n,06/23/09 11:52 PM,159,10831.2,87.33,0.04,12050,0.49,0.1,-0.61
785d03537a119e9decd7de253c74c306,3.65,1.63,2.75,4.45,3.4,y,n,n,y,n,09/21/09 01:39 PM,322,49274,95.94,0.02,50466,0.49,0.12,0.71
789ce9b31990354f0a5a507347844dea,2.8,3.85,3.25,3.1,4.2,n,y,n,n,y,10/27/09 11:14 PM,436,90799.3,96.19,0.02,92952,0.49,0.11,1.46
7938e0ab2768b67f6375eabcfefff5e1,2.5,3.5,3.75,3,4.5,n,y,y,n,y,08/21/09 08:13 PM,381,68247.6,94.78,0.03,70505,0.49,0.16,0.8
7b061056ba902bf5a3f0f123fb181ad3,3.7,2.25,3.3,3.7,4.05,y,n,n,y,y,06/24/09 08:08 AM,1264,780799,97.97,0.01,792237,0.5,0.06,0.65
7d41c244db4ee816029991d903cc7ce1,2.25,2.75,3.25,3.5,4.5,n,n,n,y,y,08/05/2009 01:10,361,60937.4,94.3,0.03,63195,0.49,0.22,0.42
7e0954e34b5af347696eb260230bccda,2.9,2.45,3.85,3.1,3.9,n,n,y,n,y,07/11/2009 09:28,414,84404.8,99.21,0.01,84584,0.5,0.04,-1.27
7f3bfec0b7228d0900b01fbc8ce9d59f,2.25,3.5,3.25,2.75,2.25,n,y,n,n,n,08/06/2009 19:35,1098,593081,98.66,0.01,598066,0.5,0.04,-0.64
80a570b74f23f56c94f639436ff92353,4.2,2.33,3.17,3,4.17,y,n,n,n,y,07/17/09 08:15 PM,907,404895,98.76,0.01,407823,0.5,0.04,-1.93
810c70fdd8c82cb4e0afc1e8cc62759a,3.6,1.5,3.45,2.9,4.35,y,n,n,n,y,06/16/09 07:25 PM,644,203058,98.38,0.01,204908,0.5,0.05,0.45
82d3a5e0936ddbff93f6630365f80af5,3.3,2.8,3.35,4.25,3.5,n,y,n,y,n,07/13/09 06:20 AM,196,15523.1,82.07,0.06,17982,0.48,0.25,0.51
83aeafc166238ebf5aaa2530e6205341,2.45,3.15,3.05,4.1,4.55,n,y,n,y,y,08/24/09 12:05 AM,130,7666.67,92.86,0.05,7938,0.48,0.22,0.71
83b6e605652dbf6915856eea1ce419bd,2.5,2,3,4.25,2.5,n,n,n,y,n,09/27/09 01:48 AM,356,59578.9,94.82,0.03,61533,0.49,0.17,0.57
845bd196f34b0eef0246f94eb25ba8c3,2.63,4.75,2.25,3.63,4.25,n,y,n,y,y,07/06/2009 23:00,267,33049.5,93.77,0.03,34304,0.49,0.2,-0.78
849cd35a3dfc7200b683b67d0167598f,2.35,3.05,3.4,1.45,2.85,n,y,n,n,n,09/02/2009 04:33,457,99059.2,95.49,0.03,101166,0.49,0.26,-0.67
85a78b7179d46b27e3f4f3a1468e2a1c,3.65,2,4.25,3.05,4.7,y,n,y,n,y,07/14/09 12:41 PM,41,762.5,97.76,0.07,765,0.49,0.06,0.57
8736d2c84c639dc57ef984602d8d96aa,3.6,1.84,3.15,3.25,3.7,y,n,n,n,n,06/14/09 07:25 PM,290,40289.5,96.81,0.02,41037,0.49,0.08,-0.67
8974aab97d9fc4e3a53ba126b5eedd81,3.2,2.9,3.25,2.7,4.05,n,y,n,n,y,01/09/2010 01:01,149,10140.3,93.22,0.04,10581,0.49,0.11,4.44
8a302f01e209fc15fa8425f2d41f633a,2.7,2.1,3.85,3.65,4.7,n,n,y,y,y,06/18/09 01:50 AM,135,8479.96,95.16,0.04,8711,0.49,0.12,-0.01
8b77d971b63c574b499cf120fca34bfd,4.6,3.05,2.5,3.75,4.55,y,y,n,y,y,08/02/2009 19:24,1118,614830,98.64,0,622150,0.5,0.01,-0.41
8bfbf6d9c91e07247d0ff83bbcacee68,4.5,2.25,3.75,2.25,4,y,n,y,n,y,06/23/09 01:20 AM,676,222411,97.77,0.01,225707,0.5,0.06,0.34
